,player_id,season,games,yellow_cards,red_cards,goals,assists,minutes_played
160,1331,2013,17,5,0,8,0,1162
161,1331,2014,33,5,0,14,5,2296
162,1331,2015,27,2,0,5,1,1369
163,1331,2016,3,0,0,0,0,93
164,1335,2012,28,2,0,0,1,2396
165,1335,2013,7,0,0,0,1,509
166,1363,2012,18,3,1,0,0,1579
167,1363,2013,19,2,1,0,0,1663
168,1368,2012,13,0,0,0,0,944
169,1368,2013,35,4,0,0,2,2903
170,1368,2014,21,0,0,1,1,1599
171,1368,2015,5,0,0,0,0,234
172,1368,2016,12,3,0,1,0,888
173,1381,2013,1,0,0,0,0,90
174,1397,2012,4,0,0,0,0,54
175,1397,2013,5,0,0,1,0,93
176,1423,2012,27,3,0,0,7,2461
177,1423,2013,36,1,0,1,5,3240
178,1423,2014,26,0,0,1,3,2259
179,1423,2015,34,5,0,0,3,2941
180,1423,2016,16,1,0,0,1,1310
181,1426,2012,10,1,0,1,2,513
182,1426,2013,14,2,0,0,1,464
183,1426,2014,14,2,0,1,1,603
184,1428,2012,25,1,0,4,1,1085
185,1428,2013,37,2,0,5,4,1645
186,1428,2014,3,0,0,0,0,26
187,1443,2012,20,2,0,0,0,1442
188,1443,2013,40,3,0,0,1,2635
189,1443,2014,27,2,1,1,3,1163
190,1443,2015,14,3,0,1,1,811
191,1474,2012,9,0,0,0,0,810
192,1474,2013,2,0,0,0,0,180
193,1496,2012,3,0,0,0,0,225
194,1496,2013,1,0,0,0,0,17
195,1532,2012,10,3,0,1,2,838
196,1532,2013,7,0,0,0,0,341
197,1560,2012,8,0,0,0,0,549
198,1565,2012,18,3,0,11,2,1616
199,1565,2013,27,2,0,13,3,2252
200,1565,2014,34,1,0,21,3,2612
201,1565,2015,24,2,0,13,3,2108
202,1565,2016,21,1,0,9,1,1692
203,1565,2017,10,0,0,1,1,562
204,1565,2018,1,0,0,1,0,3
205,1568,2012,11,1,0,4,0,668
206,1568,2013,15,2,0,4,0,909
207,1572,2014,1,0,0,0,0,29
208,1573,2012,6,0,0,0,0,341
209,1573,2013,3,0,0,0,0,20
210,1586,2012,15,2,0,1,1,1162
211,1586,2013,24,6,0,1,0,1871
212,1586,2014,34,8,0,0,0,3045
213,1586,2015,34,7,0,1,1,2915
214,1586,2016,9,2,0,2,0,683
215,1587,2012,27,4,0,2,0,2408
216,1587,2013,5,0,0,0,1,285
217,1606,2012,23,7,0,0,0,1958
218,1606,2013,12,4,0,1,0,1031
219,1613,2012,8,1,1,0,0,578
220,1613,2013,4,1,1,0,0,218
221,1659,2013,12,1,0,0,0,496
222,1659,2014,4,0,0,0,0,246
223,1662,2012,20,0,0,0,2,1694
224,1662,2013,33,5,0,1,7,2938
225,1662,2014,26,4,0,0,2,2005
226,1662,2015,25,4,0,0,2,1991
227,1662,2016,12,1,0,0,0,796
228,1662,2017,4,0,0,0,0,216
229,1662,2019,1,0,0,0,0,1
230,1667,2012,19,0,0,0,0,1710
231,1667,2013,39,1,0,0,0,3510
232,1667,2014,35,0,0,0,0,3105
233,1667,2015,47,3,0,0,0,4230
234,1667,2016,18,2,0,0,0,1620
235,1667,2017,12,1,0,0,0,1035
236,1667,2018,22,2,0,0,0,1935
237,1667,2019,7,0,0,0,0,617
238,1684,2012,10,5,0,0,0,613
239,1684,2013,8,4,0,0,0,583
240,1716,2012,14,2,0,2,3,1063
241,1725,2012,10,0,0,0,0,814
242,1725,2013,21,1,0,0,0,1890
243,1725,2014,2,0,0,0,0,180
244,1726,2012,18,2,0,1,1,1620
245,1726,2013,33,3,0,3,3,2938
246,1726,2014,31,4,0,3,0,2678
247,1726,2015,30,7,0,1,1,2430
248,1726,2016,11,5,0,0,0,804
249,1726,2017,3,0,0,0,0,113
250,1772,2012,11,0,0,0,0,309
251,1784,2012,18,3,0,0,0,1620
252,1784,2013,32,2,0,0,0,2880
253,1784,2014,19,1,0,0,0,1740
254,1784,2015,22,1,0,0,0,1938
255,1784,2016,25,5,1,0,2,2212
256,1784,2017,22,0,0,0,1,1928
257,1784,2018,6,0,0,0,0,540
258,1791,2012,15,1,0,2,2,1060
259,1791,2013,34,0,0,11,3,2468
260,1791,2014,35,2,0,7,7,2987
261,1791,2015,28,0,0,2,3,1875
262,1791,2016,29,2,0,3,1,1540
263,1791,2017,16,0,0,4,2,963
264,1792,2012,19,4,0,0,5,1412
265,1792,2013,21,5,0,1,4,1547
266,1792,2014,18,2,0,1,0,814
267,1792,2015,13,2,0,0,0,867
268,1792,2016,4,0,0,0,0,52
269,1792,2017,16,3,0,0,0,1361
270,1841,2012,6,1,0,0,0,127
271,1896,2012,15,4,0,0,0,705
272,1896,2013,26,2,0,1,2,1305
273,1896,2014,23,2,1,0,0,1337
274,1896,2015,22,9,0,0,3,1693
275,1896,2016,8,3,0,0,0,711
276,1944,2013,16,1,1,0,0,1372
277,1944,2014,8,0,0,0,0,519
278,1986,2012,8,0,1,2,2,400
279,1986,2013,28,6,0,2,1,1942
280,1986,2014,23,5,0,3,2,1786
281,1986,2015,31,7,0,0,0,2183
282,1986,2016,12,3,0,1,0,554
283,2048,2012,17,5,0,0,0,1509
284,2048,2013,14,2,0,1,0,1237
285,2050,2012,25,3,0,6,0,873
286,2050,2013,19,2,0,3,0,614
287,2050,2014,17,2,0,6,0,1018
288,2050,2015,8,2,0,1,0,376
289,2138,2012,7,1,0,0,0,520
290,2138,2013,19,6,0,0,0,1431
291,2138,2014,17,5,0,1,0,1470
292,2138,2015,12,7,0,0,0,1110
293,2138,2017,5,3,0,0,0,420
294,2148,2012,1,0,0,0,0,2
295,2148,2013,15,1,0,3,3,969
296,2148,2014,7,1,0,0,0,211
297,2148,2015,16,1,0,2,0,894
298,2148,2016,25,1,0,3,4,696
299,2148,2017,7,0,0,0,0,129
300,2150,2012,4,0,0,0,0,182
301,2150,2013,4,0,0,0,0,226
302,2150,2014,15,1,0,1,1,888
303,2150,2015,7,0,0,0,0,508
304,2201,2014,18,0,0,0,0,1650
305,2201,2015,17,0,0,0,0,1530
306,2219,2012,25,0,0,0,8,2188
307,2219,2013,47,3,0,0,17,4050
308,2219,2014,41,3,0,3,6,3365
309,2219,2015,39,2,0,1,0,3044
310,2219,2016,39,5,0,2,2,3424
311,2219,2017,20,1,0,0,2,1626
312,2233,2012,16,3,0,1,2,1327
313,2233,2013,17,2,0,1,1,1378
314,2309,2012,14,3,0,0,2,722
315,2334,2013,7,1,0,0,0,581
316,2334,2014,21,1,0,1,2,1780
317,2334,2015,7,1,0,0,0,341
318,2358,2012,3,1,0,0,0,191
319,2358,2013,19,7,0,0,3,1467
320,2358,2014,9,2,0,0,0,535
321,2386,2013,5,0,0,0,0,450
322,2386,2014,1,0,0,0,0,90
323,2421,2012,4,1,0,0,0,390
324,2421,2018,18,0,0,0,1,1620
325,2421,2019,15,1,0,0,0,1350
326,2453,2014,7,2,0,1,0,221
327,2453,2015,5,0,0,0,1,92
328,2514,2012,24,6,0,6,3,1822
329,2514,2013,38,6,0,5,10,3078
330,2514,2014,27,4,0,7,6,1774
331,2514,2015,44,10,0,5,7,3212
332,2514,2016,6,1,0,0,0,245
333,2514,2017,3,0,0,1,1,130
334,2583,2016,5,0,0,0,0,362
335,2587,2012,16,3,0,0,0,1413
336,2587,2013,21,6,1,0,1,1663
337,2587,2014,27,9,0,0,1,2355
338,2587,2015,27,7,1,0,1,2290
339,2587,2016,31,8,0,2,1,2790
340,2587,2017,13,4,0,0,0,1017
341,2623,2012,6,0,0,2,1,437
342,2623,2013,8,1,0,0,0,337
343,2623,2014,16,1,0,0,1,720
344,2623,2015,10,0,0,2,1,356
345,2623,2016,2,0,0,0,0,63
346,2703,2012,18,2,0,3,2,832
347,2703,2013,20,2,0,5,1,1084
348,2703,2014,10,1,0,1,0,557
349,2712,2012,13,1,0,3,0,453
350,2712,2013,1,1,0,0,0,30
351,2726,2012,4,0,0,0,0,360
352,2726,2013,3,0,0,0,0,270
353,2767,2012,4,0,0,0,0,30
354,2767,2013,13,1,1,2,0,765
355,2767,2014,28,2,0,4,0,1965
356,2767,2015,14,4,0,2,0,1004
357,2805,2012,16,0,0,1,3,833
358,2805,2013,15,2,0,0,2,975
359,2805,2014,12,0,0,0,3,948
360,2805,2015,2,0,0,0,0,18
361,2857,2014,4,0,0,0,0,317
362,2857,2016,5,0,0,0,0,450
363,2857,2017,19,0,0,0,0,1710
364,2857,2018,4,0,0,0,0,360
365,2865,2012,18,5,0,2,1,1302
366,2865,2013,30,8,0,3,5,2209
367,2865,2014,46,9,0,4,10,3719
368,2865,2015,42,7,0,2,3,3251
369,2865,2016,34,10,0,2,3,2576
370,2865,2017,33,8,0,0,5,2382
371,2865,2018,31,7,0,0,2,1930
372,2865,2019,20,5,0,0,1,1569
373,2865,2020,7,1,0,0,0,330
374,2874,2012,12,0,0,5,1,565
375,2874,2013,15,0,0,0,1,456
376,2874,2014,32,3,0,4,2,1736
377,2874,2015,30,5,0,6,5,1877
378,2874,2016,12,0,0,3,2,639
379,2878,2012,5,1,0,1,0,221
380,2878,2013,7,1,0,0,0,323
381,2899,2012,13,1,0,1,1,1077
382,2904,2015,10,3,0,0,0,849
383,2923,2012,18,0,0,5,5,1337
384,2923,2013,32,5,0,6,4,1969
385,2923,2014,27,7,0,2,6,1907
386,2923,2015,8,0,0,0,2,473
387,2926,2012,12,3,0,0,3,920
388,2926,2013,33,7,0,1,2,2494
389,2926,2014,18,3,0,0,0,1478
390,2926,2015,16,5,0,0,0,1425
391,2926,2016,6,3,0,0,0,460
392,2950,2012,1,0,0,0,0,10
393,2953,2012,4,2,0,0,0,47
394,2953,2013,18,6,0,0,1,1620
395,2956,2014,5,0,0,0,0,150
396,2963,2012,24,9,0,3,0,2070
397,2963,2013,33,9,1,2,2,2847
398,2963,2014,42,9,1,3,0,3423
399,2963,2015,31,6,0,1,0,2171
400,2963,2016,14,2,0,0,0,900
401,2963,2017,10,3,0,0,0,675
402,2998,2012,20,3,0,0,0,1800
403,2998,2013,30,6,0,1,1,2717
404,2998,2014,1,0,0,0,0,3
405,2998,2015,33,8,0,1,0,2889
406,2998,2016,40,10,0,3,1,3588
407,2998,2017,21,4,0,2,1,1860
